1997, D56,  Phys.Rev., Girotti & Gomes & Nascimento & Silva,  The Low Energy Limit of the Chern-Simons Theory Coupled to Fermions
1997, B409,  Phys.Lett., Lifschytz,  A Note on the Transverse Five-Brane in M(atrix) Theory
1997, D56,  Phys.Rev., Bagger & Giannakis,  Higgs Mechanism in String Theory
1997, D56,  Phys.Rev., Costa & Cvetic,  Non-threshold D-brane bound states and black holes with non-zero entropy
1997, B412,  Phys.Lett., Simonov,  Effective quark Lagrangian in the instanton-gas model
1997, D56,  Phys.Rev., Chemtob,  Systematics of string loop threshold corrections in orbifold models
1997, B407,  Phys.Lett., Fayyazuddin & Smith,  A note on T^5/Z_2 compactification of the M-theory matrix model
1997, B404,  Phys.Lett., Kogan & Szabo,  Matrix Strings in Two-dimensional Yang-Mills Theory
1997, B505,  Nucl.Phys., Evans & Johnson & Shapere,  Orientifolds, Branes, and Duality of 4D Gauge Theories
1998, B428,  Phys.Lett., Nishino,  Supergravity in 10 + 2 Dimensions as Consistent Background for  Superstring
1997, B404,  Phys.Lett., Aharony,  IR Duality in d=3 N=2 Supersymmetric USp(2N_c) and U(N_c) Gauge Theories
1997, D56,  Phys.Rev., Krasnitz & Klebanov,  Testing Effective String Models of Black Holes with Fixed Scalars
1997, B503,  Nucl.Phys., Hashimoto & IV,  Fluctuation Spectra of Tilted and Intersecting D-branes from the  Born-Infeld Action
1997, B409,  Phys.Lett., Chaichian & Chen & Lee,  Differential Regularization of Chern-Simons-Maxwell Spinor and Scalar  Electrodynamics
1998, A13,  Mod.Phys.Lett., Shafiekhani & Chung,  N=2 Super-Conformal Filed Theory on the Basis of osp(2|2)
1997, B405,  Phys.Lett., Ivanov & Krivonos & Toppan,  N=4 Super NLS-mKdV Hierarchies
1997, B403,  Phys.Lett., Jackiw & Pi,  Seeking an Even-Parity Mass Term for 3-D Gauge Theory
1997, B405,  Phys.Lett., Hsu & Schwetz,  A Note on Supersymmetry Breaking
1997, B502,  Nucl.Phys., Dorey & Khoze & Mattis & Tong & Vandoren,  Instantons, Three-Dimensional Gauge Theory, and the Atiyah-Hitchin  Manifold
1997, B57,  Nucl.Phys.Proc.Suppl., Gozzi,  Can We Look at The Quantisation Rules as Constraints?
1997, B399,  Phys.Lett., Loll,  Imposing det E > 0 in discrete quantum gravity
1998, D57,  Phys.Rev., Banados,  Constant Curvature Black Holes
1997, B500,  Nucl.Phys., Husain & Major,  Gravity and BF theory defined in bounded regions
2000, D62,  Phys.Rev., Reznik,  Origin of the Thermal Radiation in a Solid-State Analog of a Black-Hole
1997, D56,  Phys.Rev., Grant & Moss,  Hamiltonians for Reduced Gravity
1997, D56,  Phys.Rev., Husain,  Constants of motion for vacuum general relativity
1997, B407,  Phys.Lett., Meisinger & Ogilvie,  Finite Temperature Quark Confinement
1998, B417,  Phys.Lett., Patrascioiu & Seiler,  Does Conformal Quantum Field Theory Describe the Continuum Limits of  2D Spin Models with Continuous Symmetry?
1998, E57,  Phys.Rev., Patrascioiu & Seiler,  Continuum Limit of $2D$ Spin Models with Continuous Symmetry and  Conformal Quantum Field Theory
1997, B402,  Phys.Lett., Shushpanov & Smilga,  Quark condensate in a magnetic field
1997, D56,  Phys.Rev., Linde & Riotto,  Hybrid Inflation in Supergravity
1997, D56,  Phys.Rev., Stewart,  Flattening the Inflaton's Potential with Quantum Corrections II
1997, B507,  Nucl.Phys., Navelet & Peschanski,  Conformal Invariance and the exact solution of BFKL equations
1997, B502,  Nucl.Phys., Kawamura & Khalil & Kobayashi,  Phenomenological implications of moduli-dominant SUSY breaking
1997, B401,  Phys.Lett., Poppitz & Trivedi,  Some Remarks On Gauge-Mediated Supersymmetry Breaking
1997, B501,  Nucl.Phys., Brignole & Feruglio & Zwirner,  Aspects of spontaneously broken N = 1 global supersymmetry in the  presence of gauge interactions
1997, D56,  Phys.Rev., Feigenbaum & Freund & Pigli,  High Energy Hadronic Total Cross-Sections
1997, D56,  Phys.Rev., Feigenbaum & Freund & Pigli,  T-Duality Considerations for Hadronic Strings
1997, D56,  Phys.Rev., Cvetic & Demir & Espinosa & Everett & Langacker,  Electroweak Breaking and the mu problem in Supergravity Models with an  Additional U(1)
1997, B405,  Phys.Lett., Kawamura & Kobayashi & Kubo,  Soft Scalar-Mass Sum Rule in Gauge-Yukawa Unified Models and Its  Superstring Interpretation
1997, B404,  Phys.Lett., Smirnov,  Asymptotic expansions of two-loop Feynman diagrams in the Sudakov limit
1997, B403,  Phys.Lett., Dobrescu,  B - L Mediated Supersymmetry Breaking
1997, B405,  Phys.Lett., Ball & Forte,  Asymptotically Free Partons at High Energy
1999, A14,  Int.J.Mod.Phys., Tkachov,  Landau equations and asymptotic operation
1997, B412,  Phys.Lett., Tkachov,  Towards systematic near-threshold calculations in perturbative QFT
1997, A12,  Mod.Phys.Lett., Atzmon,  The Associated Metric for a Particle in a Quantum Energy Level
1997, A30,  J.Phys., Gomberoff & Hojman,  Non-standard Construction of Hamiltonian Structures
1997, L157,  Class.Quant.Grav., Kuzenko,  The Off-Shell Massive Hypermultiplets Revisited
1997, B404,  Phys.Lett., Petrini,  Infrared Stability of N=4 Super Yang-Mills Theory
1997, B504,  Nucl.Phys., Gava & Narain & Sarmadi,  On the Bound States of p- and (p+2)-Branes
1997, B507,  Nucl.Phys., Berends & Giele,  On the Construction of Scattering Amplitudes for Spinning Massless  Particles
1997, B402,  Phys.Lett., Fraser & Hollowood,  Semi-classical Quantization in N=4 Supersymmetric Yang-Mills Theory and  Duality
1997, B508,  Nucl.Phys., Behrndt & Forste & Schwager,  Instanton effects in string cosmology
1997, B504,  Nucl.Phys., Mikovic & Radovanovic,  One-loop Effective Action for a Generic 2D Dilaton Gravity Theory
1997, B405,  Phys.Lett., Kristjansen & Olesen,  A Possible IIB Superstring Matrix Model with Euler Characteristic and a  Double Scaling Limit
1997, B506,  Nucl.Phys., Dijkgraaf & Verlinde & Verlinde,  5D Black Holes and Matrix Strings
1997, D55,  Phys. Rev. D55 1997) 4920., Christiansen,  Chiral condensates and QCD vacuum in two dimensions
1997, B404,  Phys.Lett., Zeid & Hull,  Intrinsic Geometry of D-Branes
1997, D56,  Phys.Rev., Cornwall,  Speculations on Primordial Magnetic Helicity
1997, B406,  Phys.Lett., Henneaux,  Anomalies and Renormalization of BFYM Theory
1997, B508,  Nucl.Phys., Magro & O'Raifeartaigh & Sachs,  On the Uniqueness of the effective Lagrangian for N= 2 SQCD
1997, B411,  Phys.Lett., Barnes & Baskerville & Turok,  Normal Mode Spectrum of the Deuteron in the Skyrme Model
1997, D56,  Phys.Rev., Polchinski & Pouliot,  Membrane Scattering with M-Momentum Transfer
1997, B507,  Nucl.Phys., Gopakumar,  BPS states in Matrix Strings
1997, B404,  Phys.Lett., Fucito & Martellini & Sorella & Tanzini & Vilar & Zeni,  Algebraic renormalization of the BF Yang-Mills Theory
1997, B505,  Nucl.Phys., Bytsenko & Vanzo & Zerbini,  Ray-Singer Torsion for a Hyperbolic 3-Manifold and Asymptotics of  Chern-Simons-Witten Invariant
1997, B503,  Nucl.Phys., Devchand & Nuyts,  Supersymmetric Lorentz-Covariant Hyperspaces and self-duality equations  in dimensions greater than (4|4)
1997, B405,  Phys.Lett., Curtright & Fairlie & Zachos,  Integrable Symplectic Trilinear Interaction Terms for Matrix Membranes
1998, D57,  Phys.Rev., Bellucci,  Effective gravity and OSp(N,4) invariant matter
1997, B500,  Nucl.Phys., de Boer & Skenderis,  Self-Dual Supergravity from N=2 Strings
1997, B403,  Phys.Lett., Lowe,  Heterotic Matrix String Theory
1997, B506,  Nucl.Phys., Brodie & Hanany,  Type IIA Superstrings, Chiral Symmetry, and N=1 4D Gauge Theory  Dualities
1997, B502,  Nucl.Phys., Brandhuber & Sonnenschein & Theisen & Yankielowicz,  Brane Configurations and 4D Field Theory Dualities
1997, B506,  Nucl.Phys., Ovrut & Waldram,  Membranes and Three-form Supergravity
1997, G23,  J.Phys., Jallouli & Sazdjian,  The infinite mass limit of the two-particle Green's function in QED
1998, A13,  Int.J.Mod.Phys., Abdel-Khalek,  Unified Octonionic Representation of the 10-13 Dimensional Clifford  Algebra
1997, B502,  Nucl.Phys., Petersen & Rasmussen & Yu,  Free Field Realizations of 2D Current Algebras, Screening Currents and  Primary Fields
1997, B403,  Phys.Lett., Bars,  A case for 14 dimensions
1997, B506,  Nucl.Phys., Guhr & Wettig,  Universal spectral correlations of the Dirac operator at finite  temperature
1997, B506,  Nucl.Phys., Jackson & Sener & Verbaarschot,  Universality of Correlation Functions in Random Matrix Models of QCD
1997, B415,  Phys.Lett., Rudychev & Sezgin,  Superparticles in D>11
1997, D56,  Phys.Rev., Horowitz & Ross,  Naked Black Holes
1998, B512,  Nucl.Phys., Kakushadze,  Aspects of N=1 Type I-Heterotic Duality in Four Dimensions
1997, B412,  Phys.Lett., Ahn & Oh,  Geometry, D-Branes and N=1 Duality in Four Dimensions I
1997, B410,  Phys.Lett., Propitius,  Confinement in partially broken abelian Chern-Simons theories
1997, B502,  Nucl.Phys., Ennes & Ramallo,  Fusion rules and singular vectors of the osp(1|2) current algebra
1997, D56,  Phys.Rev., Csaki & Erlich & Freedman & Skiba,  N=1 Supersymmetric Product Group Theories in the Coulomb Phase
1998, A13,  Int.J.Mod.Phys., Velhinho,  Comments on a Full Quantization of the Torus
1997, B404,  Phys.Lett., Kusenko,  Small Q balls
1997, B503,  Nucl.Phys., Antonov & Hasegawa & Zabrodin,  On trigonometric intertwining vectors and non-dynamical R-matrix for the  Ruijsenaars model
1997, B405,  Phys.Lett., Lechtenfeld & Siegel,  N=2 Worldsheet Instantons Yield Cubic Self-Dual Yang-Mills
1997, B402,  Phys.Lett., Dib & Espinosa & Schmidt,  3-dimensional Rules for Finite-Temperature Loops
1997, B505,  Nucl.Phys., Korchemsky & Krichever,  Solitons in high-energy QCD
1997, B402,  Phys.Lett., Ghezelbash & Karimipour,  Global Conformal Invariance in D-dimensions and Logarithmic Correlation  Functions
1998, A13,  Int.J.Mod.Phys., Herrera-Aguilar & Kechkin,  Matrix Ernst Potentials and Orthogonal Symmetry for Heterotic String in  Three Dimensions
1997, B404,  Phys.Lett., Dilao & Schiappa,  Stable Knotted Strings
1997, B503,  Nucl.Phys., Berenstein & Corrado & Distler,  On the Moduli Spaces of M(atrix)-Theory Compactifications
1998, B113,  Nuovo Cim., Pimentel & Teixeira,  Generalization of the Hamilton-Jacobi approach for higher order singular  systems
1997, B408,  Phys.Lett., Berkooz & Rozali & Seiberg,  Matrix Description of M-theory on $T^4$ and $T^5$
1997, A12,  Mod.Phys.Lett., Hisakado,  Five-Dimensional Gauge Theories and Whitham-Toda Equation
1997, D56,  Phys.Rev., Medina & Berkovits,  Pasti-Sorokin-Tonin Actions in the Presence of Sources
1997, B409,  Phys.Lett., D'Attanasio & Morris,  Large N and the renormalization group
1997, B506,  Nucl.Phys., Behrndt & Cardoso & Gaida,  Quantum N = 2 Supersymmetric Black Holes in the S-T Model
1997, B508,  Nucl.Phys., Itzhaki,  Stringy Corrections to Kaluza-Klein Black Holes
1997, B507,  Nucl.Phys., Candelas & Perevalov & Rajesh,  Toric Geometry and Enhanced Gauge Symmetry of F-Theory/Heterotic Vacua
1997, B505,  Nucl.Phys., Yi,  Witten Index and Threshold Bound States of D-Branes
1997, A12,  Mod.Phys.Lett., Kubo,  Oscillator Quantum Algebra and Deformed su(2) Algebra
1997, B405,  Phys.Lett., Gates & Jr & Rodgers,  Type -B/ -O Bosonic String Sigma-Models
1998, D57,  Phys.Rev., Burinskii,  Kerr Spinning Particle, Strings, and Superparticle Models
1997, B505,  Nucl.Phys., Elitzur & Giveon & Kutasov & Rabinovici & Schwimmer,  Brane Dynamics and N=1 Supersymmetric Gauge Theory
1999, D60,  Phys.Rev., Brower & Chandrasekharan & Wiese,  QCD as a Quantum Link Model
1997, B507,  Nucl.Phys., Berkovits,  Extra Dimensions in Superstring Theory
1997, B503,  Nucl.Phys., Klebanov & Rajaraman & Tseytlin,  Intermediate Scalars and the Effective String Model of Black Holes
1997, B501,  Nucl.Phys., Kakushadze & Shiu & Tye,  Couplings in Asymmetric Orbifolds and Grand Unified String Models
1998, A13,  Int.J.Mod.Phys., Nakatsu,  Toward Second-Quantization of D5-Brane
1997, B406,  Phys.Lett., Bimonte & Musto & Stern & Vitale,  Deformed Chern-Simons Theories
1997, A12,  Mod.Phys.Lett., Aratyn & Das & Rasinariu,  Zero Curvature Formalism for Supersymmetric Integrable Hierarchies in  Superspace
1997, B411,  Phys.Lett., Fischler & Rajaraman,  M(atrix) String Theory on K3
1997, D56,  Phys.Rev., Hashimoto & Hata,  D-brane and Gauge Invariance in Closed String Field Theory
1997, B409,  Phys.Lett., Brunelli & Das,  The sTB-B Hierarchy
1997, D56,  Phys.Rev., Chepelev & Tseytlin,  Long-distance interactions of D-brane bound states and longitudinal  5-brane in M(atrix) theory
1997, B414,  Phys.Lett., Dalmazi & Dutra,  A Simple Action for a Free Anyon
1997, B407,  Phys.Lett., Bonora & Sorin,  The Hamiltonian structure of the N=2 supersymmetric GNLS hierarchy
1997, B406,  Phys.Lett., Bautier & Deser & Henneaux & Seminara,  No Cosmological D=11 Supergravity
1997, D56,  Phys.Rev., Naus & Pirner & Fields & Vary,  QCD near the Light Cone
1997, A12,  Mod.Phys.Lett., Accardi & Belli,  Renormalization trasformations of the 4D BFYM theory
1997, B508,  Nucl.Phys., Chou & Kallosh & Rahmfeld & Rey & Shmakova & Wong,  Critical Points and Phase Transitions in 5D Compactifications of  M-Theory
1998, D57,  Phys.Rev., Balasubramanian & Larsen & Leigh,  Branes at Angles and Black Holes
1997, B407,  Phys.Lett., Zayas,  Modified Kantowski-Sachs Cosmologies from Coset Models
1998, B510,  Nucl.Phys., Sabra,  Black holes in N=2 supergravity theories and harmonic functions
1998, A13,  Mod.Phys.Lett., Hsu,  Gaugino Determinant in Supersymmetric Yang-Mills Theory
1997, B506,  Nucl.Phys., Douglas & Greene & Morrison,  Orbifold Resolution by D-Branes
1997, D56,  Phys.Rev., Irwin,  SU(3) monopoles and their fields
1997, A110,  Nuovo Cim., Pavsic,  The Dirac-Nambu-Goto p-Branes as Particular Solutions to a Generalized,  Unconstrained Theory
1998, B514,  Nucl.Phys., Mathur,  Absorption of angular momentum by black holes and D-branes
1997, B504,  Nucl.Phys., Haagensen & Olsen,  T-Duality and Two-Loop Renormalization Flows
1997, B502,  Nucl.Phys., Rey,  Heterotic M(atrix) Strings and Their Interactions
1997, B410,  Phys.Lett., Ksenzov,  New approach to the non-perturbative physics
1997, A12,  Mod.Phys.Lett., Cederwall,  Boundaries of 11-Dimensional Membranes
1998, D57,  Phys.Rev., Burkardt,  Finiteness Conditions for Light-Front Hamiltonians
1997, B505,  Nucl.Phys., Girardello & Porrati & Zaffaroni,  Spontaneously Broken N=2 Supergravity Without Light Mirror Fermions
1997, B408,  Phys.Lett., Brax & Mourad,  Open supermembranes in eleven dimensions
1998, D58,  Phys.Rev., Cruz & Izquierdo & Navarro & Navarro-Salas,  Free fields via canonical transformations of matter-coupled 2D dilaton  gravity models
1997, A12,  Mod.Phys.Lett., Ellis & Mavromatos & Nanopoulos,  Quantum Decoherence in a D-Foam Background
1997, B504,  Nucl.Phys., Aharony & Hanany,  Branes, Superpotentials and Superconformal Fixed Points
1998, D57,  Phys.Rev., Tsujimaru & Yamawaki,  Zero Mode and Symmetry Breaking on the Light Front
1997, D56,  Phys. Rev., Feinstein & Lazkoz & Vazquez-Mozo,  Closed Inhomogeneous String Cosmologies
1997, B502,  Nucl.Phys., Isidro & Mukherjee & Nunes & Schnitzer,  On the Picard-Fuchs Equations for Massive N=2 Seiberg-Witten Theories
1997, B507,  Nucl.Phys., Dudas & Grojean,  Four-dimensional M-theory and supersymmetry breaking
1997, B502,  Nucl.Phys., Lukas & Ovrut,  U-Duality Symmetries from the Membrane Worldvolume
1997, A30,  J.Phys., Ilinski & Kalinin & Stepanenko,  q-Functional Wick's theorems for particles with exotic statistics
1997, A12,  Mod.Phys.Lett., Nersessian,  On the Geometry of Relativistic Anyon
1997, A12,  Mod.Phys.Lett., Nirov,  The Ostrogradsky prescription for BFV formalism
1998, A13,  Mod.Phys.Lett., Lizzi & Mangano & Miele & Sparano,  Mirror Fermions in Noncommutative Geometry
1997, B504,  Nucl.Phys., Kachru & Silverstein,  Chirality Changing Phase Transitions in 4d String Vacua
1997, B409,  Phys.Lett., Duff & Lu & Pope,  Supersymmetry without Supersymmetry
1997, D55,  Phys.Rev., Natti & Piza,  Small oscillations of a chiral Gross-Neveu system
1997, D56,  Phys.Rev., Kallosh & Kumar,  Supersymmetry Enhancement of D-p-branes and M-branes
1997, B408,  Phys.Lett., Argurio & Englert & Houart & Windey,  On the Opening of Branes
1997, N2,  Teor.Mat.Fiz., Fliegner & Reuter & Schmidt & Schubert,  The Two-Loop Euler-Heisenberg Lagrangian in Dimensional Renormalization
1997, D56,  Phys.Rev., Gubser,  Can the effective string see higher partial waves?
1997, B502,  Nucl.Phys., Dorey & Khoze & Mattis,  Multi-Instantons, Three-Dimensional Gauge Theory, and the  Gauss-Bonnet-Chern Theorem
1998, B419,  Phys.Lett., Tatar,  Dualities in 4D Theories with Product Gauge Groups from Brane  Configurations
1997, B410,  Phys.Lett., Lee & Myung & Kim,  Absorption of fixed scalar in scattering off 4D N=4 black holes
1998, B509,  Nucl.Phys., Morris & Turner,  Derivative expansion of the renormalization group in O(N) scalar field  theory
1998, B517,  Nucl.Phys., Schiappa,  Supersymmetric Yang-Mills Theory and Riemannian Geometry
1998, B511,  Nucl.Phys., Batalin & Marnelius,  Antisymplectic Gauge Theories
1997, B404,  Phys.Lett., Carter,  Electromagnetic self interaction in strings
1997, B408,  Phys.Lett., Lukyanov,  Form-factors of exponential fields in the affine A^{(1)}_{N-1} Toda  model
1998, B417,  Phys.Lett., Buchbinder & Buchbinder & Kuzenko & Ovrut,  The Background Field Method for N = 2 Super Yang-Mills Theories in  Harmonic Superspace
1997, D55,  Phys.Rev., Song,  Restrictions on negative energy density in a curved spacetime
1996, B111,  Nuovo Cim., Pinheiro & Pires & Tomimura,  Some Quantum Aspects of Three-Dimensional Einstein-Chern-Simons-Proca  Massive Gravity
1997, D56,  Phys.Rev., Wald,  The ``Nernst Theorem'' and Black Hole Thermodynamics
1997, D56,  Phys.Rev., Page,  Space for Both No-Boundary and Tunneling Quantum States of the Universe
1997, D56,  Phys.Rev., Abramo & Brandenberger & Mukhanov,  The Energy-Momentum Tensor for Cosmological Perturbations
1997, D56,  Phys.Rev., Frolov,  Perturbations and Critical Behavior in the Self-Similar Gravitational  Collapse of a Massless Scalar Field
1997, D56,  Phys.Rev., Gasperini,  Tensor perturbations in high-curvature string backgrounds
1997, D56,  Phys.Rev., Ford & Svaiter,  Cosmological and Black Hole Horizon Fluctuations
1997, L135,  Class.Quant.Grav., Montesinos-Velasquez & Morales-Tecotl & Matos,  Fermion mass gap in the loop representation of quantum gravity
1997, D56,  Phys.Rev., Hochberg & Visser,  Geometric structure of the generic static traversable wormhole throat
1997, B507,  Nucl.Phys., Lalak & Poppe,  Scalar field fluctuations in Pre-Big-Bang Cosmologies
1997, A30,  J.Phys., Johnston & Plechac,  Potts Models on Feynman Diagrams
1998, B416,  Phys.Lett., Chernodub & Gubarev & Polikarpov,  Aharonov-Bohm Effect in Lattice Abelian Higgs Theory
1997, B501,  Nucl.Phys., Leigh & Randall & Rattazzi,  Unity of Supersymmetry Breaking Models
1997, D56,  Phys.Rev., Li & Lopez & Nanopoulos,  Compactifications of M-theory and their Phenomenological Consequences
1997, B405,  Phys.Lett., Kusenko,  Solitons in the supersymmetric extensions of the Standard Model
1997, B401,  Phys.Lett., Benatti & Floreanini,  Experimental limits on complete positivity from the K-K system
1997, B409,  Phys.Lett., Peschanski,  Dual Shapiro-Virasoro amplitudes in the QCD dipole picture
1997, D56,  Phys.Rev., Harada & ) & Schechter & Weigel,  Generalization of the Bound State Model
1997, D56,  Phys.Rev., Gusynin & Shovkovy,  Chiral Symmetry Breaking in QED in a Magnetic Field at Finite  Temperature
1997, D56,  Phys.Rev., Dalley & de Sande,  Colour-Dielectric Gauge Theory on a Transverse Lattice
1997, D56,  Phys.Rev., Kofman & Linde & Starobinsky,  Towards the Theory of Reheating After Inflation
1997, B11,  Mod.Phys.Lett., Salasnich,  On the Torus Quantization of Two Anyons with Coulomb Interaction in a  Magnetic Field
1997, D56,  Phys.Rev., Berkooz & Cho & Kraus & Strassler,  Dual Descriptions of SO(10) SUSY Gauge Theories with Arbitrary Numbers  of Spinors and Vectors
1998, B419,  Phys.Lett., Ahn,  Geometry, D-Branes and N=1 Duality in Four Dimensions II
1997, D56,  Phys.Rev., Ansoldi & Aurilia & Spallucci,  Hausdorff dimension of a quantum string
1997, A12,  Mod.Phys.Lett., Chekhov & Zarembo,  Effective Action and Measure in Matrix Model of IIB Superstrings
1998, A13,  Int.J.Mod.Phys., Roy,  On S-Duality of Toroidally Compactified Type IIB String Effective Action
1998, D57,  Phys.Rev., Jacobson,  Semiclassical Decay of Near-Extremal Black Holes
1997, B409,  Phys.Lett., Brunner & Karch,  Branes and Six Dimensional Fixed Points
1997, B508,  Nucl.Phys., Gutperle,  Contact terms, symmetries and D-instantons
1997, B411,  Phys.Lett., Andrianopoli & D'Auria & Ferrara,  Five Dimensional U-Duality, Black-Hole Entropy and Topological  Invariants
1998, D58,  Phys.Rev., Hansson & Wirstam & Zahed,  Real Time Correlators in Hot (2+1)d QCD
1997, B508,  Nucl.Phys., Dragon & Kuzenko,  The Higgs Mechanism in N=2 Superspace
1997, B506,  Nucl.Phys., Blum & Intriligator,  Consistency Conditions for Branes at Orbifold Singularities
1997, A12,  Mod.Phys.Lett., Plyushchay,  R-deformed Heisenberg algebra, anyons and d=2+1 supersymmetry
1997, D56,  Phys.Rev., Turner & Weinberg,  Pre-Big-Bang Inflation Requires Fine Tuning
1997, B505,  Nucl.Phys., Antoniadis & Quiros,  Supersymmetry breaking in M-theory and gaugino condensation
1997, B502,  Nucl.Phys., Bergshoeff & Kallosh & Ortin & Papadopoulos,  Kappa-Symmetry, Supersymmetry and Intersecting Branes
1998, B517,  Nucl.Phys., Hollowood,  Dyon electric charge and fermion fractionalization
1997, B506,  Nucl.Phys., Blum & Intriligator,  New Phases of String Theory and 6d RG Fixed Points via Branes at  Orbifold Singularities
1997, B408,  Phys.Lett., Polychronakos,  Multidimensional Calogero systems from matrix models
1997, B506,  Nucl.Phys., Copeland & Lidsey & Wands,  S-duality Invariant Perturbations in String Cosmology
1998, D57,  Phys.Rev., Sheinblatt,  Statistical Entropy of an Extremal Black Hole with 0- and 6-Brane Charge
1997, B505,  Nucl.Phys., Horava,  Matrix Theory and Heterotic Strings on Tori
1997, D56,  Phys.Rev., Kallosh,  Covariant Quantization of D-branes
1997, B409,  Phys.Lett., Dine & Seiberg,  Comments on Higher Derivative Operators in Some SUSY Field Theories
1997, B408,  Phys.Lett., Maharana & Singh,  On the Compactification of Type IIA String Theory
1997, D56,  Phys.Rev., Bak & Min,  Radiation Damping of a BPS Monopole; an Implication to S-duality
1997, D56,  Phys.Rev., Bose & Kar,  Exact solutions in two-dimensional string cosmology with back reaction
2001, A16,  Mod.Phys.Lett., Kar,  A note on the Einstein equation in string theory
1998, D57,  Phys.Rev., Marolf,  Statistical Effects and the Black Hole/D-brane Correspondence
1997, B506,  Nucl.Phys., Brodie,  Exact Solutions of Exceptional Gauge Theories from Toric Geometry
1997, D56,  Phys.Rev., Michaud & Myers,  Hermitian D-brane solutions
1998, B523,  Nucl.Phys., Paris & Roca,  A Remark on the Effective Description of Topological Defects
1997, A232,  Phys.Lett., Ilinski & Kalinin & Stepanenko,  q-Functional Field Theory for particles with exotic statistics
1997, B407,  Phys.Lett., Generowicz & Harvey-Fros & Morris,  C Function Representation of the Local Potential Approximation
1997, B411,  Phys.Lett., Kastor & Win,  Non-extreme Calabi-Yau Black Holes
1997, B506,  Nucl.Phys., Becker & Becker,  A Two-Loop Test of M(atrix) Theory
1997, B508,  Nucl.Phys., Alvarez & Meessen & Ortin,  Transformation of Black-Hole Hair under Duality and Supersymmetry
1997, A12,  Mod.Phys.Lett., Maule & Sciuto,  Extended conformal symmetry of the one-dimensional Bose gas
1997, D56,  Phys.Rev., Bordag & Gillies & Mostepanenko,  New Constraints on the Yukawa-Type Hypothetical Interaction From The  Recent Casimir Force Measurement
1997, B503,  Nucl.Phys., Aspinwall & Morrison,  Point-like Instantons on K3 Orbifolds
1997, B413,  Phys.Lett., Ahn & Tatar,  Geometry, D-branes and N=1 Duality in Four Dimensions with Product Gauge  Group
1999, B450,  Phys.Lett., Faraggi & Matone,  Quantum Mechanics from an Equivalence Principle
1998, D57,  Phys.Rev., Pierre,  Interactions of Eight-branes in String Theory and M(atrix) Theory
1997, B504,  Nucl.Phys., Kazama,  Scattering of Quantized Dirichlet Particles
1997, D56,  Phys.Rev., Govindarajan,  A note on M(atrix) theory in seven dimensions with eight supercharges
1997, A12,  Mod.Phys.Lett., Akemann & Plefka,  The Chiral Supereigenvalue Model
1997, B508,  Nucl.Phys., Taylor,  Adhering 0-branes to 6-branes and 8-branes
1999, A14,  Int.J.Mod.Phys., Pachos,  Virasoro Algebra and O(N) Sigma Model
1998, B511,  Nucl.Phys., Chepelev & Tseytlin,  Interactions of type IIB D-branes from D-instanton matrix model
1998, B416,  Phys.Lett., Hisakado,  Unitary Matrix Models and Phase Transition
1998, B510,  Nucl.Phys., Fukuma & Kawai & Kitazawa & Tsuchiya,  String Field Theory from IIB Matrix Model
1998, B509,  Nucl.Phys., Comellas,  Polchinski equation, reparameterization invariance and the derivative  expansion
1998, B509,  Nucl.Phys., Bergman & Gaberdiel & Lifschytz,  Branes, Orientifolds and the Creation of Elementary Strings
1998, B534,  Nucl.Phys., Kim & Rey,  M(atrix) Theory on T5/Z2 Orbifold and Five-Branes
1997, B410,  Phys.Lett., Bonora & Chu,  On the string interpretation of M(atrix) theory
1997, B503,  Nucl.Phys., Acharya & O'Loughlin & Spence,  Higher Dimensional Analogues of Donaldson-Witten Theory
1997, D56,  Phys.Rev., de Alwis,  Coupling of branes and normalization of effective actions in  string/M-theory
1998, A238,  Phys.Lett., Ghosh & Rao,  Exactly Solvable Models in Arbitrary Dimensions
1998, B510,  Nucl.Phys., Baerwald & Gebert & Nicolai,  On the Imaginary Simple Roots of the Borcherds Algebra $g_{II_{9,1}}$
1997, A12,  Mod.Phys.Lett., Cruz & Navarro-Salas,  Canonical Equivalence of a Generic 2D Dilaton Gravity Model and a  Bosonic String Theory
1997, D56,  Phys.Rev., Hawking & Ross,  Loss of quantum coherence through scattering off virtual black holes
1997, D56,  Phys.Rev., Johnson,  On the Orientifolding of Type II NS-Fivebranes
1997, B505,  Nucl.Phys., Naculich & Schnitzer,  Superconformal Coset Equivalence from Level-Rank Duality
1998, B514,  Nucl.Phys., Gaida,  Gauge Symmetry Enhancement and N = 2 Supersymmetric Quantum Black Holes  in Heterotic String Vacua
1998, B510,  Nucl.Phys., Houghton & Manton & Sutcliffe,  Rational Maps, Monopoles and Skyrmions
1998, A13,  Int.J.Mod.Phys., Maru & Nishimura,  Lattice Formulation of Supersymmetric Yang-Mills Theories without  Fine-Tuning
1997, D56,  Phys.Rev., Chamseddine,  An Effective Superstring Spectral Action
1998, A13,  Int.J.Mod.Phys., Alba & Lusanna,  The Lienard-Wiechert Potential of Charged Scalar Particles and their  Relation to Scalar Electrodynamics in the Rest-Frame Instant Form
1998, A13,  Int.J.Mod.Phys., Alba & Lusanna,  The Classical Relativistic Quark Model in the Rest-Frame  Wigner-Covariant Coulomb Gauge
1997, D56,  Phys.Rev., Barcelos-Neto & Oliveira,  Gauging the nonlinear sigma-model through a non-Abelian algebra
